cenario,vu,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,req_per_s,failure_pct,total_requests
python_cache,1,5.60166086694285,4.0,8.0,10.0,16.0,176.60029849332227,0.0,10379
python_cache,5,19.074708498120373,16.0,27.0,35.0,61.0,260.0171733886011,0.0,15448
python_cache,10,39.81432615056306,34.0,57.0,69.0,120.0,249.5987885390617,0.0,14778
python_nocache,1,192.4521171381606,180.0,220.0,250.0,460.0,5.194202611386804,0.0,304
python_nocache,5,192.44066096049627,180.0,220.0,240.0,310.0,25.951314764806348,0.0,1544
python_nocache,10,208.84808743893174,200.0,250.0,280.0,340.0,47.791569697455984,0.0,2800
ruby_cache,1,4.605958799936611,4.0,7.0,8.0,14.0,213.9856850769389,0.0,12506
ruby_cache,5,16.59566034970199,13.0,29.0,37.0,58.0,297.00222293221753,0.0,17555
ruby_cache,10,36.244379567783255,31.0,59.0,72.0,100.0,270.5529371769779,0.0,15911
ruby_nocache,1,4.674254263462095,4.0,7.0,9.0,15.0,210.88453393530727,0.0,12366
ruby_nocache,5,13.605822138566277,12.0,20.0,23.0,35.0,362.8733786510221,0.0,21578
ruby_nocache,10,23.86891062559917,22.0,33.0,40.0,61.0,412.3257606335764,0.0,24228
